
========>...................] - ETA: 21:53 - loss: 0.3489 - acc: 0.8717
24186/60000 [===========>..................] - ETA: 21:33 - loss: 0.3485 - acc: 0.8718
24189/60000 [===========>..................] - ETA: 21:33 - loss: 0.3485 - acc: 0.8718
24192/60000 [===========>..................] - ETA: 21:33 - loss: 0.3485 - acc: 0.8718
24195/60000 [===========>..................] - ETA: 21:32 - loss: 0.3484 - acc: 0.8718
24198/60000 [===========>..................] - ETA: 21:32 - loss: 0.3487 - acc: 0.8718
24201/60000 [===========>..................] - ETA: 21:32 - loss: 0.3487 - acc: 0.8718
24204/60000 [===========>..................] - ETA: 21:32 - loss: 0.3486 - acc: 0.8718
24207/60000 [===========>..................] - ETA: 21:32 - loss: 0.3487 - acc: 0.8718
24210/60000 [===========>..................] - ETA: 21:32 - loss: 0.3487 - acc: 0.8718
24213/60000 [===========>..................] - ETA: 21:32 - loss: 0.3486 - acc: 0.8718
24216/60000 [===========>..................] - ETA: 21:32 - loss: 0.3487 - acc: 0.8718
24219/60000 [===========>..................] - ETA: 21:32 - loss: 0.3487 - acc: 0.8718
24222/60000 [===========>..................] - ETA: 21:31 - loss: 0.3486 - acc: 0.8718
24225/60000 [===========>..................] - ETA: 21:31 - loss: 0.3486 - acc: 0.8718
24228/60000 [===========>..................] - ETA: 21:31 - loss: 0.3486 - acc: 0.8718
24231/60000 [===========>..................] - ETA: 21:31 - loss: 0.3486 - acc: 0.8718
24234/60000 [===========>..................] - ETA: 21:31 - loss: 0.3486 - acc: 0.8718
24237/60000 [===========>..................] - ETA: 21:31 - loss: 0.3486 - acc: 0.8718
24240/60000 [===========>..................] - ETA: 21:31 - loss: 0.3486 - acc: 0.8718
24243/60000 [===========>..................] - ETA: 21:31 - loss: 0.3486 - acc: 0.8718
24246/60000 [===========>..................] - ETA: 21:31 - loss: 0.3487 - acc: 0.8718
24249/60000 [===========>..................] - ETA: 21:30 - loss: 0.3486 - acc: 0.8718
24252/60000 [===========>..................] - ETA: 21:30 - loss: 0.3487 - acc: 0.8718
24255/60000 [===========>..................] - ETA: 21:30 - loss: 0.3487 - acc: 0.8718
24258/60000 [===========>..................] - ETA: 21:30 - loss: 0.3486 - acc: 0.8718
24261/60000 [===========>..................] - ETA: 21:30 - loss: 0.3486 - acc: 0.8718
24264/60000 [===========>..................] - ETA: 21:30 - loss: 0.3486 - acc: 0.8718
24267/60000 [===========>..................] - ETA: 21:30 - loss: 0.3487 - acc: 0.8718
24270/60000 [===========>..................] - ETA: 21:30 - loss: 0.3487 - acc: 0.8718
24273/60000 [===========>..................] - ETA: 21:30 - loss: 0.3487 - acc: 0.8718
24276/60000 [===========>..................] - ETA: 21:29 - loss: 0.3487 - acc: 0.8718
24279/60000 [===========>..................] - ETA: 21:29 - loss: 0.3487 - acc: 0.8718
24282/60000 [===========>..................] - ETA: 21:29 - loss: 0.3486 - acc: 0.8718
24285/60000 [===========>..................] - ETA: 21:29 - loss: 0.3486 - acc: 0.8718
24288/60000 [===========>..................] - ETA: 21:29 - loss: 0.3488 - acc: 0.8718
24291/60000 [===========>..................] - ETA: 21:29 - loss: 0.3489 - acc: 0.8718
24294/60000 [===========>..................] - ETA: 21:29 - loss: 0.3489 - acc: 0.8717
24297/60000 [===========>..................] - ETA: 21:29 - loss: 0.3489 - acc: 0.8718
24300/60000 [===========>..................] - ETA: 21:29 - loss: 0.3490 - acc: 0.8717
24303/60000 [===========>..................] - ETA: 21:28 - loss: 0.3490 - acc: 0.8717
24306/60000 [===========>..................] - ETA: 21:28 - loss: 0.3489 - acc: 0.8718
24309/60000 [===========>..................] - ETA: 21:28 - loss: 0.3489 - acc: 0.8717
24312/60000 [===========>..................] - ETA: 21:28 - loss: 0.3490 - acc: 0.8718
24315/60000 [===========>..................] - ETA: 21:28 - loss: 0.3489 - acc: 0.8718
24318/60000 [===========>..................] - ETA: 21:28 - loss: 0.3489 - acc: 0.8717
24321/60000 [===========>..................] - ETA: 21:28 - loss: 0.3489 - acc: 0.8718
24324/60000 [===========>..................] - ETA: 21:28 - loss: 0.3488 - acc: 0.8718
24327/60000 [===========>..................] - ETA: 21:28 - loss: 0.3488 - acc: 0.8718
24330/60000 [===========>..................] - ETA: 21:27 - loss: 0.3494 - acc: 0.8718
24333/60000 [===========>..................] - ETA: 21:27 - loss: 0.3494 - acc: 0.8718
24336/60000 [===========>..................] - ETA: 21:27 - loss: 0.3494 - acc: 0.8718
24339/60000 [===========>..................] - ETA: 21:27 - loss: 0.3494 - acc: 0.8718
24342/60000 [===========>..................] - ETA: 21:27 - loss: 0.3494 - acc: 0.8718
24345/60000 [===========>..................] - ETA: 21:27 - loss: 0.3494 - acc: 0.8718
24348/60000 [===========>..................] - ETA: 21:27 - loss: 0.3494 - acc: 0.8718
24351/60000 [===========>..................] - ETA: 21:27 - loss: 0.3494 - acc: 0.8718
24354/60000 [===========>..................] - ETA: 21:27 - loss: 0.3494 - acc: 0.8718
24357/60000 [===========>..................] - ETA: 21:26 - loss: 0.3494 - acc: 0.8718
24360/60000 [===========>..................] - ETA: 21:26 - loss: 0.3494 - acc: 0.8718
24363/60000 [===========>..................] - ETA: 21:26 - loss: 0.3494 - acc: 0.8719
24366/60000 [===========>..................] - ETA: 21:26 - loss: 0.3494 - acc: 0.8719
24369/60000 [===========>..................] - ETA: 21:26 - loss: 0.3493 - acc: 0.8719
24372/60000 [===========>..................] - ETA: 21:26 - loss: 0.3494 - acc: 0.8719
24375/60000 [===========>..................] - ETA: 21:26 - loss: 0.3495 - acc: 0.8719
24378/60000 [===========>..................] - ETA: 21:26 - loss: 0.3494 - acc: 0.8719
24381/60000 [===========>..................] - ETA: 21:26 - loss: 0.3494 - acc: 0.8719
24384/60000 [===========>..................] - ETA: 21:26 - loss: 0.3494 - acc: 0.8719
24387/60000 [===========>..................] - ETA: 21:25 - loss: 0.3493 - acc: 0.8719
24390/60000 [===========>..................] - ETA: 21:25 - loss: 0.3493 - acc: 0.8719
24393/60000 [===========>..................] - ETA: 21:25 - loss: 0.3493 - acc: 0.8719
24396/60000 [===========>..................] - ETA: 21:25 - loss: 0.3496 - acc: 0.8719
24399/60000 [===========>..................] - ETA: 21:25 - loss: 0.3495 - acc: 0.8719
24402/60000 [===========>..................] - ETA: 21:25 - loss: 0.3495 - acc: 0.8719
